epoch 6 [680/1668], valid loss: 32.64
epoch 6 [700/1668], valid loss: 33.29
epoch 6 [720/1668], valid loss: 33.76
epoch 6 [740/1668], valid loss: 33.93
epoch 6 [760/1668], valid loss: 33.44
epoch 6 [780/1668], valid loss: 34.13
epoch 6 [800/1668], valid loss: 34.18
epoch 6 [820/1668], valid loss: 33.92
epoch 6 [840/1668], valid loss: 34.15
epoch 6 [860/1668], valid loss: 34.13
epoch 6 [880/1668], valid loss: 33.35
epoch 6 [900/1668], valid loss: 33.76
epoch 6 [920/1668], valid loss: 33.45
epoch 6 [940/1668], valid loss: 33.58
epoch 6 [960/1668], valid loss: 33.45
epoch 6 [980/1668], valid loss: 33.82
epoch 6 [1000/1668], valid loss: 33.81
epoch 6 [1020/1668], valid loss: 32.97
epoch 6 [1040/1668], valid loss: 32.74
epoch 6 [1060/1668], valid loss: 32.61
epoch 6 [1080/1668], valid loss: 33.66
epoch 6 [1100/1668], valid loss: 33.63
epoch 6 [1120/1668], valid loss: 34.09
epoch 6 [1140/1668], valid loss: 33.48
epoch 6 [1160/1668], valid loss: 33.66
epoch 6 [1180/1668], valid loss: 33.77
epoch 6 [1200/1668], valid loss: 33.91
epoch 6 [1220/1668], valid loss: 34.54
epoch 6 [1240/1668], valid loss: 35.96
epoch 6 [1260/1668], valid loss: 36.44
epoch 6 [1280/1668], valid loss: 36.17
epoch 6 [1300/1668], valid loss: 36.12
epoch 6 [1320/1668], valid loss: 35.64
epoch 6 [1340/1668], valid loss: 35.75
epoch 6 [1360/1668], valid loss: 36.22
epoch 6 [1380/1668], valid loss: 35.68
epoch 6 [1400/1668], valid loss: 35.82
epoch 6 [1420/1668], valid loss: 35.94
epoch 6 [1440/1668], valid loss: 35.83
epoch 6 [1460/1668], valid loss: 35.37
epoch 6 [1480/1668], valid loss: 35.30
epoch 6 [1500/1668], valid loss: 35.42
epoch 6 [1520/1668], valid loss: 35.77
epoch 6 [1540/1668], valid loss: 36.53
epoch 6 [1560/1668], valid loss: 35.85
epoch 6 [1580/1668], valid loss: 35.47
epoch 6 [1600/1668], valid loss: 35.61
epoch 6 [1620/1668], valid loss: 35.74
epoch 6 [1640/1668], valid loss: 35.94
epoch 6 [1660/1668], valid loss: 36.22
Acc: tensor(0.7500)
epoch 7 [0/1668], valid loss: 36.51
epoch 7 [20/1668], valid loss: 36.78
epoch 7 [40/1668], valid loss: 36.87
epoch 7 [60/1668], valid loss: 36.54
epoch 7 [80/1668], valid loss: 36.04
epoch 7 [100/1668], valid loss: 35.77
epoch 7 [120/1668], valid loss: 35.13
epoch 7 [140/1668], valid loss: 35.45
epoch 7 [160/1668], valid loss: 36.45
epoch 7 [180/1668], valid loss: 36.04
epoch 7 [200/1668], valid loss: 36.04
epoch 7 [220/1668], valid loss: 35.46
epoch 7 [240/1668], valid loss: 35.36
epoch 7 [260/1668], valid loss: 34.92
epoch 7 [280/1668], valid loss: 35.27
epoch 7 [300/1668], valid loss: 35.29
epoch 7 [320/1668], valid loss: 35.06
epoch 7 [340/1668], valid loss: 35.40
epoch 7 [360/1668], valid loss: 36.27
epoch 7 [380/1668], valid loss: 36.41
epoch 7 [400/1668], valid loss: 36.04
epoch 7 [420/1668], valid loss: 35.37
epoch 7 [440/1668], valid loss: 35.36
epoch 7 [460/1668], valid loss: 35.65
epoch 7 [480/1668], valid loss: 36.01
epoch 7 [500/1668], valid loss: 35.48
epoch 7 [520/1668], valid loss: 35.81
epoch 7 [540/1668], valid loss: 35.53
epoch 7 [560/1668], valid loss: 35.36
epoch 7 [580/1668], valid loss: 35.21
epoch 7 [600/1668], valid loss: 34.66
epoch 7 [620/1668], valid loss: 35.11
epoch 7 [640/1668], valid loss: 36.02
epoch 7 [660/1668], valid loss: 36.46
epoch 7 [680/1668], valid loss: 36.20
epoch 7 [700/1668], valid loss: 34.89
epoch 7 [720/1668], valid loss: 35.53
epoch 7 [740/1668], valid loss: 35.94
epoch 7 [760/1668], valid loss: 35.68
epoch 7 [780/1668], valid loss: 36.23
epoch 7 [800/1668], valid loss: 35.23
epoch 7 [820/1668], valid loss: 35.27
epoch 7 [840/1668], valid loss: 34.60
epoch 7 [860/1668], valid loss: 34.02
epoch 7 [880/1668], valid loss: 34.59
epoch 7 [900/1668], valid loss: 34.52
epoch 7 [920/1668], valid loss: 34.44
epoch 7 [940/1668], valid loss: 33.80
epoch 7 [960/1668], valid loss: 33.87
epoch 7 [980/1668], valid loss: 33.92
epoch 7 [1000/1668], valid loss: 33.57
epoch 7 [1020/1668], valid loss: 33.37
epoch 7 [1040/1668], valid loss: 32.88
epoch 7 [1060/1668], valid loss: 33.16
epoch 7 [1080/1668], valid loss: 33.79
epoch 7 [1100/1668], valid loss: 33.95
epoch 7 [1120/1668], valid loss: 34.24
epoch 7 [1140/1668], valid loss: 33.98
epoch 7 [1160/1668], valid loss: 34.95
epoch 7 [1180/1668], valid loss: 35.31
epoch 7 [1200/1668], valid loss: 34.83
epoch 7 [1220/1668], valid loss: 34.66
epoch 7 [1240/1668], valid loss: 35.31
epoch 7 [1260/1668], valid loss: 35.39
epoch 7 [1280/1668], valid loss: 35.33
epoch 7 [1300/1668], valid loss: 35.04
epoch 7 [1320/1668], valid loss: 34.64
epoch 7 [1340/1668], valid loss: 34.74
epoch 7 [1360/1668], valid loss: 35.31
epoch 7 [1380/1668], valid loss: 35.78
epoch 7 [1400/1668], valid loss: 35.72
epoch 7 [1420/1668], valid loss: 35.24
epoch 7 [1440/1668], valid loss: 35.78
epoch 7 [1460/1668], valid loss: 36.09
epoch 7 [1480/1668], valid loss: 35.49
epoch 7 [1500/1668], valid loss: 35.61
epoch 7 [1520/1668], valid loss: 36.63
epoch 7 [1540/1668], valid loss: 36.59
epoch 7 [1560/1668], valid loss: 36.76
epoch 7 [1580/1668], valid loss: 35.92
epoch 7 [1600/1668], valid loss: 35.66
epoch 7 [1620/1668], valid loss: 36.27
epoch 7 [1640/1668], valid loss: 36.17
epoch 7 [1660/1668], valid loss: 35.66
Acc: tensor(0.7188)
epoch 8 [0/1668], valid loss: 36.27
epoch 8 [20/1668], valid loss: 36.64
epoch 8 [40/1668], valid loss: 36.53
epoch 8 [60/1668], valid loss: 36.99
epoch 8 [80/1668], valid loss: 36.55
epoch 8 [100/1668], valid loss: 36.28
epoch 8 [120/1668], valid loss: 35.98
epoch 8 [140/1668], valid loss: 35.37
epoch 8 [160/1668], valid loss: 34.22
epoch 8 [180/1668], valid loss: 35.09
epoch 8 [200/1668], valid loss: 35.42
epoch 8 [220/1668], valid loss: 35.56
epoch 8 [240/1668], valid loss: 35.07
epoch 8 [260/1668], valid loss: 34.68
epoch 8 [280/1668], valid loss: 34.43
epoch 8 [300/1668], valid loss: 35.16
epoch 8 [320/1668], valid loss: 34.57
epoch 8 [340/1668], valid loss: 34.45
epoch 8 [360/1668], valid loss: 34.36
epoch 8 [380/1668], valid loss: 34.31
epoch 8 [400/1668], valid loss: 33.92
epoch 8 [420/1668], valid loss: 34.90
epoch 8 [440/1668], valid loss: 34.79
epoch 8 [460/1668], valid loss: 34.54
epoch 8 [480/1668], valid loss: 35.25
epoch 8 [500/1668], valid loss: 35.19
epoch 8 [520/1668], valid loss: 35.07
epoch 8 [540/1668], valid loss: 33.75
epoch 8 [560/1668], valid loss: 33.52
epoch 8 [580/1668], valid loss: 33.72
epoch 8 [600/1668], valid loss: 34.12
epoch 8 [620/1668], valid loss: 35.27
epoch 8 [640/1668], valid loss: 34.67
